tx_id,ts,amount,merchant_cat,merchant_id_hash,card_id_hash,city,country,device_type,channel,hour,dayofweek,prev_24h_tx_count_card,prev_24h_amt_card,prev_1h_tx_count_card,velocity_amt_1h,is_international,is_night,is_fraud
bd10202c675c4c178c69e5a1a03956c3,2022-12-31 22:25:00,1288.09,jewelry,4cca88a3ad,8b63294dde,Dubai,AE,mobile,online,22,5,12,819,1,707,True,True,1
7bf50fdc99e74a3e8e8283a5538b620c,2022-12-31 22:38:00,13.89,grocery,6333b581ad,15eef03e82,Austin,US,desktop,online,22,5,2,152,0,43,False,False,0
cb4eed8bb8df42d6996e0c7f38058f75,2022-12-31 22:58:00,24.83,retail,55a7b3f97f,2cf38b8da3,San Francisco,US,desktop,online,22,5,1,94,0,6,False,False,0
32b880e2290641268682f80c5d2820bb,2022-12-31 23:04:00,191.33,grocery,352c913a31,e749230551,San Francisco,US,desktop,in_store,23,5,1,182,1,12,False,True,0
14e2d367c15d41308288756464f7e3d2,2022-12-31 23:10:00,9.96,grocery,1197f4cbed,597d788a8d,New York,US,desktop,online,23,5,1,171,0,15,False,True,0
66b075d744224b30bee7f6832dc73327,2022-12-31 23:14:00,347.17,retail,6333b581ad,3c0c30d9e7,London,FR,mobile,online,23,5,14,4538,3,1043,True,True,1
981cc390dd484bcf9364dad82486f152,2022-12-31 23:24:00,10.29,grocery,ad82e49156,2cf38b8da3,Austin,US,mobile,online,23,5,0,177,0,27,False,True,0
4ab47fc83d40455087cbcd6f8745bc8e,2022-12-31 23:28:00,13.13,retail,e0a08e525d,d906be2ab5,San Francisco,US,desktop,online,23,5,2,99,0,12,False,True,0
21ace72d437c4cda9d698632cff06d02,2022-12-31 23:30:00,43.46,gas,8719ff1a23,79e2c2059f,Austin,US,desktop,in_store,23,5,1,39,0,40,False,True,0
736c016e8568484c930d082d1d8536e9,2022-12-31 23:33:00,77.19,retail,abe826ea3f,e51b26bfc6,Chicago,US,desktop,in_store,23,5,1,184,0,40,False,True,0
350cc2d79c0f4a1fa2070fbd9ef976d5,2022-12-31 23:38:00,5.93,retail,f3f8d23e94,ecf14a2e82,San Francisco,US,mobile,in_store,23,5,1,144,0,13,False,True,0
0dfed4b78ae94ee697d321e47d48f8ba,2022-12-31 23:38:00,62.39,gas,db30e93718,5c11e999e1,Austin,US,mobile,online,23,5,0,42,1,37,False,True,0
